market,symbol,quality_components,value_components,growth_components,momentum_components,low_risk_components,factor_count,core_factor_count,eligible_for_composite,component_count
hk,0090.HK,1,3,0,2,1,4,3,True,7
hk,0092.HK,1,0,0,2,1,3,2,False,4
hk,0093.HK,1,3,0,2,1,4,3,True,7
hk,0094.HK,1,3,0,2,1,4,3,True,7
hk,0095.HK,1,3,0,2,1,4,3,True,7
hk,0096.HK,1,3,0,2,1,4,3,True,7
hk,0097.HK,1,3,0,2,1,4,3,True,7
hk,0098.HK,1,3,0,2,1,4,3,True,7
hk,0099.HK,1,3,0,2,1,4,3,True,7
hk,0100.HK,1,2,0,1,0,3,2,False,4
hk,0101.HK,1,3,0,2,1,4,3,True,7
hk,0102.HK,1,0,0,2,1,3,2,False,4
hk,0103.HK,1,3,0,2,1,4,3,True,7
hk,0104.HK,1,3,0,2,1,4,3,True,7
hk,0105.HK,1,3,0,2,1,4,3,True,7
hk,0106.HK,1,2,0,2,1,4,3,True,6
hk,0107.HK,1,3,0,2,1,4,3,True,7
hk,0108.HK,1,3,0,2,1,4,3,True,7
hk,0110.HK,1,2,0,2,1,4,3,True,6
hk,0111.HK,1,3,0,2,1,4,3,True,7
hk,0113.HK,1,3,0,2,1,4,3,True,7
hk,0114.HK,1,3,0,2,1,4,3,True,7
hk,0115.HK,1,3,0,2,1,4,3,True,7
hk,0116.HK,1,3,0,2,1,4,3,True,7
hk,0117.HK,1,3,0,2,1,4,3,True,7
hk,0118.HK,1,3,0,2,1,4,3,True,7
hk,0119.HK,1,3,0,2,1,4,3,True,7
hk,0120.HK,1,3,0,2,1,4,3,True,7
hk,0122.HK,1,3,0,2,1,4,3,True,7
hk,0123.HK,1,3,0,2,1,4,3,True,7
hk,0124.HK,1,3,0,2,1,4,3,True,7
hk,0125.HK,1,3,0,2,1,4,3,True,7
hk,0126.HK,1,3,0,2,1,4,3,True,7
hk,0127.HK,1,3,0,2,1,4,3,True,7
hk,0128.HK,1,3,0,2,1,4,3,True,7
hk,0129.HK,1,3,0,2,1,4,3,True,7
hk,0130.HK,1,3,0,2,1,4,3,True,7
hk,0131.HK,1,0,0,2,1,3,2,False,4
hk,0132.HK,1,3,0,2,1,4,3,True,7
hk,0133.HK,1,3,0,2,1,4,3,True,7
hk,0135.HK,1,3,0,2,1,4,3,True,7
hk,0136.HK,1,3,0,2,1,4,3,True,7
hk,0137.HK,1,3,0,2,1,4,3,True,7
hk,0138.HK,1,3,0,2,1,4,3,True,7
hk,0139.HK,1,3,0,2,1,4,3,True,7
hk,0142.HK,1,3,0,2,1,4,3,True,7
hk,0144.HK,1,3,0,2,1,4,3,True,7
hk,0145.HK,1,3,0,2,1,4,3,True,7
hk,0146.HK,1,0,0,2,1,3,2,False,4
hk,0147.HK,1,3,0,2,1,4,3,True,7
hk,0148.HK,1,3,0,2,1,4,3,True,7
hk,0149.HK,1,3,0,2,1,4,3,True,7
hk,0150.HK,1,3,0,2,1,4,3,True,7
hk,0151.HK,1,3,0,2,1,4,3,True,7
hk,0152.HK,1,3,0,2,1,4,3,True,7
hk,0154.HK,1,3,0,2,1,4,3,True,7
hk,0156.HK,1,3,0,2,1,4,3,True,7
hk,0157.HK,1,3,0,2,1,4,3,True,7
hk,0158.HK,1,3,0,2,1,4,3,True,7
hk,0159.HK,1,0,0,2,1,3,2,False,4
hk,0160.HK,1,3,0,2,1,4,3,True,7
hk,0162.HK,1,3,0,2,1,4,3,True,7
hk,0163.HK,1,3,0,2,1,4,3,True,7
hk,0164.HK,1,2,0,2,1,4,3,True,6
hk,0165.HK,1,3,0,2,1,4,3,True,7
hk,0166.HK,1,3,0,2,1,4,3,True,7
hk,0167.HK,1,3,0,2,1,4,3,True,7
hk,0168.HK,1,3,0,2,1,4,3,True,7
hk,0169.HK,1,3,0,2,1,4,3,True,7
hk,0171.HK,1,3,0,2,1,4,3,True,7
hk,0173.HK,1,3,0,2,1,4,3,True,7
hk,0174.HK,1,3,0,2,1,4,3,True,7
hk,0175.HK,1,3,0,2,1,4,3,True,7
hk,0176.HK,1,1,0,2,1,4,3,True,5
hk,0177.HK,1,3,0,2,1,4,3,True,7
hk,0178.HK,1,3,0,2,1,4,3,True,7
hk,0179.HK,1,3,0,2,1,4,3,True,7
hk,0180.HK,1,3,0,2,1,4,3,True,7
hk,0181.HK,1,3,0,2,1,4,3,True,7
hk,0182.HK,1,3,0,2,1,4,3,True,7
hk,0183.HK,1,0,0,2,1,3,2,False,4
hk,0184.HK,1,3,0,2,1,4,3,True,7
hk,0185.HK,1,3,0,2,1,4,3,True,7
hk,0186.HK,1,3,0,2,1,4,3,True,7
hk,0187.HK,1,3,0,2,1,4,3,True,7
hk,0188.HK,1,0,0,2,1,3,2,False,4
hk,0189.HK,1,3,0,2,1,4,3,True,7
hk,0191.HK,1,0,0,2,1,3,2,False,4
hk,0193.HK,1,0,0,2,1,3,2,False,4
hk,0194.HK,1,3,0,2,1,4,3,True,7
hk,0195.HK,1,0,0,2,1,3,2,False,4
hk,0196.HK,1,3,0,2,1,4,3,True,7
hk,0197.HK,1,0,0,2,1,3,2,False,4
hk,0199.HK,1,3,0,2,1,4,3,True,7
hk,0200.HK,1,3,0,2,1,4,3,True,7
hk,0201.HK,1,3,0,2,1,4,3,True,7
hk,0202.HK,1,3,0,2,1,4,3,True,7
hk,0204.HK,1,0,0,2,1,3,2,False,4
hk,0205.HK,1,3,0,2,1,4,3,True,7
hk,0206.HK,1,3,0,2,1,4,3,True,7
hk,0207.HK,1,0,0,2,1,3,2,False,4
hk,0209.HK,1,2,0,2,1,4,3,True,6
hk,0210.HK,1,3,0,2,1,4,3,True,7
hk,0211.HK,1,3,0,2,1,4,3,True,7
hk,0212.HK,1,3,0,2,1,4,3,True,7
hk,0213.HK,1,3,0,2,1,4,3,True,7
hk,0214.HK,1,3,0,2,1,4,3,True,7
hk,0215.HK,1,3,0,2,1,4,3,True,7
hk,0216.HK,1,3,0,2,1,4,3,True,7
hk,0217.HK,1,3,0,2,1,4,3,True,7
hk,0218.HK,1,3,0,2,1,4,3,True,7
hk,0219.HK,1,3,0,2,1,4,3,True,7
hk,0220.HK,1,3,0,2,1,4,3,True,7
hk,0222.HK,1,3,0,2,1,4,3,True,7
hk,0223.HK,1,3,0,2,1,4,3,True,7
hk,0224.HK,1,3,0,2,1,4,3,True,7
hk,0225.HK,1,3,0,2,1,4,3,True,7
hk,0226.HK,1,0,0,2,1,3,2,False,4
hk,0227.HK,1,3,0,2,1,4,3,True,7
hk,0228.HK,1,3,0,2,1,4,3,True,7
hk,0229.HK,1,3,0,2,1,4,3,True,7
hk,0230.HK,1,0,0,2,1,3,2,False,4
hk,0232.HK,1,3,0,2,1,4,3,True,7
hk,0234.HK,1,3,0,2,1,4,3,True,7
hk,0235.HK,1,3,0,2,1,4,3,True,7
hk,0236.HK,1,3,0,2,1,4,3,True,7
hk,0237.HK,1,3,0,2,1,4,3,True,7
hk,0239.HK,1,3,0,2,1,4,3,True,7
hk,0240.HK,1,3,0,2,1,4,3,True,7
hk,0241.HK,1,3,0,2,1,4,3,True,7
hk,0242.HK,1,3,0,2,1,4,3,True,7
hk,0243.HK,1,0,0,2,1,3,2,False,4
hk,0244.HK,1,2,0,2,1,4,3,True,6
hk,0245.HK,1,3,0,2,1,4,3,True,7
hk,0247.HK,1,0,0,2,1,3,2,False,4
hk,0248.HK,1,3,0,2,1,4,3,True,7
hk,0251.HK,1,3,0,2,1,4,3,True,7
hk,0252.HK,1,3,0,2,1,4,3,True,7
hk,0253.HK,1,3,0,2,1,4,3,True,7
hk,0254.HK,1,0,0,2,1,3,2,False,4
hk,0255.HK,1,3,0,2,1,4,3,True,7
hk,0256.HK,1,3,0,2,1,4,3,True,7
hk,0257.HK,1,3,0,2,1,4,3,True,7
hk,0258.HK,1,3,0,2,1,4,3,True,7
hk,0259.HK,1,3,0,2,1,4,3,True,7
hk,0260.HK,1,0,0,2,1,3,2,False,4
hk,0261.HK,1,3,0,2,1,4,3,True,7
hk,0262.HK,1,3,0,2,1,4,3,True,7
hk,0264.HK,1,2,0,2,1,4,3,True,6
hk,0265.HK,1,3,0,2,1,4,3,True,7
hk,0266.HK,1,3,0,2,1,4,3,True,7
hk,0267.HK,1,3,0,2,1,4,3,True,7
hk,0268.HK,1,3,0,2,1,4,3,True,7
hk,0269.HK,1,2,0,2,1,4,3,True,6
hk,0270.HK,1,3,0,2,1,4,3,True,7
hk,0271.HK,1,3,0,2,1,4,3,True,7
hk,0272.HK,1,3,0,2,1,4,3,True,7
hk,0273.HK,1,0,0,0,0,1,0,False,1
hk,0274.HK,1,3,0,2,1,4,3,True,7
hk,0276.HK,1,2,0,2,1,4,3,True,6
hk,0277.HK,1,3,0,2,1,4,3,True,7
hk,0278.HK,1,0,0,0,0,1,0,False,1
hk,0279.HK,1,3,0,2,1,4,3,True,7
hk,0280.HK,1,3,0,2,1,4,3,True,7
hk,0285.HK,1,3,0,2,1,4,3,True,7
hk,0286.HK,1,0,0,2,1,3,2,False,4
hk,0287.HK,1,3,0,2,1,4,3,True,7
hk,0288.HK,1,3,0,2,1,4,3,True,7
hk,0289.HK,1,3,0,2,1,4,3,True,7
hk,0290.HK,1,3,0,2,1,4,3,True,7
hk,0291.HK,1,3,0,2,1,4,3,True,7
hk,0292.HK,1,0,0,2,1,3,2,False,4
hk,0293.HK,1,3,0,2,1,4,3,True,7
hk,0294.HK,1,3,0,2,1,4,3,True,7
hk,0295.HK,1,3,0,2,1,4,3,True,7
hk,0296.HK,1,3,0,2,1,4,3,True,7
hk,0297.HK,1,3,0,2,1,4,3,True,7
hk,0298.HK,1,3,0,2,1,4,3,True,7
hk,0299.HK,1,0,0,2,1,3,2,False,4
hk,0300.HK,1,3,0,2,0,3,2,False,6
hk,0301.HK,1,3,0,2,1,4,3,True,7
hk,0302.HK,1,3,0,2,1,4,3,True,7
hk,0303.HK,1,3,0,2,1,4,3,True,7
hk,0305.HK,1,3,0,2,1,4,3,True,7
hk,0306.HK,1,3,0,2,1,4,3,True,7
hk,0308.HK,1,3,0,2,1,4,3,True,7
hk,0309.HK,1,3,0,2,1,4,3,True,7
hk,0310.HK,1,3,0,2,1,4,3,True,7
hk,0311.HK,1,3,0,2,1,4,3,True,7
hk,0312.HK,1,3,0,2,1,4,3,True,7
hk,0313.HK,1,3,0,2,1,4,3,True,7
hk,0314.HK,1,3,0,2,1,4,3,True,7
hk,0315.HK,1,0,0,2,1,3,2,False,4
hk,0316.HK,1,3,0,2,1,4,3,True,7
hk,0317.HK,1,3,0,2,1,4,3,True,7
hk,0318.HK,1,0,0,2,1,3,2,False,4
hk,0320.HK,1,3,0,2,1,4,3,True,7
hk,0321.HK,1,3,0,2,1,4,3,True,7
hk,0322.HK,1,3,0,2,1,4,3,True,7
hk,0323.HK,1,3,0,2,1,4,3,True,7
hk,0325.HK,1,3,0,2,0,3,2,False,6
hk,0326.HK,1,3,0,2,1,4,3,True,7
hk,0327.HK,1,3,0,2,1,4,3,True,7
hk,0328.HK,1,2,0,2,1,4,3,True,6
hk,0329.HK,1,3,0,2,1,4,3,True,7
hk,0330.HK,1,3,0,2,1,4,3,True,7
hk,0331.HK,1,0,0,2,1,3,2,False,4
hk,0332.HK,1,2,0,2,1,4,3,True,6
hk,0333.HK,1,0,0,2,1,3,2,False,4
hk,0334.HK,1,3,0,2,1,4,3,True,7
hk,0335.HK,1,3,0,2,1,4,3,True,7
hk,0336.HK,1,3,0,2,1,4,3,True,7
hk,0337.HK,1,3,0,2,1,4,3,True,7
hk,0338.HK,1,3,0,2,1,4,3,True,7
hk,0339.HK,1,3,0,2,1,4,3,True,7
hk,0340.HK,1,3,0,2,1,4,3,True,7
hk,0341.HK,1,3,0,2,1,4,3,True,7
hk,0343.HK,1,3,0,2,1,4,3,True,7
hk,0345.HK,1,3,0,2,1,4,3,True,7
hk,0346.HK,1,3,0,2,1,4,3,True,7
hk,0347.HK,1,3,0,2,1,4,3,True,7
hk,0348.HK,1,2,0,2,1,4,3,True,6
hk,0351.HK,1,3,0,2,1,4,3,True,7
hk,0352.HK,1,3,0,2,1,4,3,True,7
hk,0353.HK,1,3,0,2,1,4,3,True,7
hk,0354.HK,1,3,0,2,1,4,3,True,7
hk,0355.HK,1,3,0,2,1,4,3,True,7
hk,0356.HK,1,3,0,2,1,4,3,True,7
hk,0357.HK,1,3,0,2,1,4,3,True,7
hk,0358.HK,1,3,0,2,1,4,3,True,7
hk,0360.HK,1,3,0,2,1,4,3,True,7
hk,0361.HK,1,3,0,2,1,4,3,True,7
hk,0362.HK,1,0,0,2,1,3,2,False,4
hk,0363.HK,1,3,0,2,1,4,3,True,7
hk,0365.HK,1,3,0,2,1,4,3,True,7
hk,0366.HK,1,3,0,2,1,4,3,True,7
hk,0367.HK,1,3,0,2,1,4,3,True,7
hk,0368.HK,1,3,0,2,1,4,3,True,7
hk,0369.HK,1,3,0,2,1,4,3,True,7
hk,0370.HK,1,3,0,2,1,4,3,True,7
hk,0371.HK,1,3,0,2,1,4,3,True,7
hk,0372.HK,1,2,0,2,1,4,3,True,6
hk,0373.HK,1,3,0,2,1,4,3,True,7
hk,0374.HK,1,3,0,2,1,4,3,True,7
hk,0375.HK,1,3,0,2,1,4,3,True,7
hk,0376.HK,1,3,0,2,1,4,3,True,7
hk,0377.HK,1,2,0,2,1,4,3,True,6
hk,0379.HK,1,3,0,2,1,4,3,True,7
hk,0380.HK,1,3,0,2,1,4,3,True,7
hk,0381.HK,1,3,0,2,1,4,3,True,7
hk,0382.HK,1,2,0,2,1,4,3,True,6
hk,0383.HK,1,3,0,2,1,4,3,True,7
hk,0384.HK,1,3,0,2,1,4,3,True,7
hk,0385.HK,1,3,0,2,1,4,3,True,7
hk,0386.HK,1,3,0,2,1,4,3,True,7
hk,0387.HK,1,3,0,2,1,4,3,True,7
hk,0388.HK,1,3,0,2,1,4,3,True,7
hk,0389.HK,1,3,0,2,1,4,3,True,7
hk,0390.HK,1,3,0,2,1,4,3,True,7
hk,0391.HK,1,3,0,2,1,4,3,True,7
hk,0392.HK,1,3,0,2,1,4,3,True,7
hk,0393.HK,1,3,0,2,1,4,3,True,7
hk,0396.HK,1,3,0,2,1,4,3,True,7
hk,0397.HK,1,3,0,2,1,4,3,True,7
hk,0398.HK,1,3,0,2,1,4,3,True,7
hk,0399.HK,1,0,0,2,1,3,2,False,4
hk,0400.HK,1,3,0,2,1,4,3,True,7
hk,0401.HK,1,3,0,2,1,4,3,True,7
hk,0403.HK,1,3,0,2,1,4,3,True,7
hk,0406.HK,1,3,0,2,1,4,3,True,7
hk,0408.HK,1,3,0,2,1,4,3,True,7
hk,0410.HK,1,3,0,2,1,4,3,True,7
hk,0411.HK,1,0,0,2,1,3,2,False,4
hk,0412.HK,1,2,0,2,1,4,3,True,6
hk,0413.HK,1,3,0,2,1,4,3,True,7
hk,0417.HK,1,3,0,2,1,4,3,True,7
hk,0418.HK,1,3,0,2,1,4,3,True,7
hk,0419.HK,1,3,0,2,1,4,3,True,7
hk,0420.HK,1,3,0,2,1,4,3,True,7
hk,0422.HK,1,3,0,2,1,4,3,True,7
hk,0423.HK,1,3,0,2,1,4,3,True,7
hk,0425.HK,1,3,0,2,1,4,3,True,7
hk,0426.HK,1,2,0,2,1,4,3,True,6
hk,0428.HK,1,3,0,2,1,4,3,True,7
hk,0430.HK,1,3,0,2,1,4,3,True,7
hk,0431.HK,1,2,0,2,1,4,3,True,6
hk,0432.HK,1,2,0,2,1,4,3,True,6
hk,0433.HK,1,3,0,2,1,4,3,True,7
hk,0434.HK,1,3,0,2,1,4,3,True,7
hk,0436.HK,1,3,0,2,1,4,3,True,7
hk,0438.HK,1,3,0,2,1,4,3,True,7
hk,0439.HK,1,3,0,2,1,4,3,True,7
hk,0440.HK,0,3,0,2,1,3,3,True,6
hk,0442.HK,1,3,0,2,1,4,3,True,7
hk,0444.HK,1,1,0,2,1,4,3,True,5
hk,0450.HK,1,3,0,2,1,4,3,True,7
hk,0451.HK,1,3,0,2,1,4,3,True,7
hk,0455.HK,1,3,0,2,1,4,3,True,7
hk,0456.HK,1,3,0,2,1,4,3,True,7
hk,0458.HK,1,3,0,2,1,4,3,True,7
hk,0459.HK,1,0,0,2,1,3,2,False,4
hk,0460.HK,1,3,0,2,1,4,3,True,7
hk,0464.HK,1,3,0,2,1,4,3,True,7
hk,0465.HK,1,3,0,2,1,4,3,True,7
hk,0467.HK,1,3,0,2,1,4,3,True,7
hk,0468.HK,1,3,0,2,1,4,3,True,7
hk,0470.HK,1,3,0,0,0,2,1,False,4
hk,0471.HK,1,3,0,2,1,4,3,True,7
hk,0472.HK,1,3,0,2,1,4,3,True,7
hk,0474.HK,1,0,0,2,1,3,2,False,4
hk,0475.HK,1,2,0,2,1,4,3,True,6
hk,0476.HK,1,3,0,2,1,4,3,True,7
hk,0480.HK,1,3,0,2,1,4,3,True,7
hk,0482.HK,1,2,0,2,1,4,3,True,6
hk,0483.HK,1,3,0,2,1,4,3,True,7
hk,0484.HK,1,3,0,2,1,4,3,True,7
hk,0485.HK,1,3,0,2,1,4,3,True,7
hk,0486.HK,1,1,0,0,0,2,1,False,2
hk,0487.HK,1,3,0,2,1,4,3,True,7
hk,0488.HK,1,1,0,2,1,4,3,True,5
hk,0489.HK,1,0,0,2,1,3,2,False,4
hk,0491.HK,1,0,0,2,1,3,2,False,4
hk,0493.HK,1,2,0,2,1,4,3,True,6
hk,0495.HK,1,0,0,2,1,3,2,False,4
hk,0496.HK,1,3,0,2,1,4,3,True,7
hk,0497.HK,1,3,0,2,1,4,3,True,7
hk,0498.HK,1,3,0,2,1,4,3,True,7
hk,0499.HK,1,3,0,2,1,4,3,True,7
hk,0500.HK,1,3,0,2,1,4,3,True,7
hk,0501.HK,1,3,0,1,0,3,2,False,5
hk,0503.HK,1,0,0,0,0,1,0,False,1
hk,0505.HK,1,3,0,2,1,4,3,True,7
hk,0506.HK,1,3,0,2,1,4,3,True,7
hk,0508.HK,1,3,0,2,1,4,3,True,7
hk,0509.HK,1,0,0,2,1,3,2,False,4
hk,0510.HK,1,3,0,2,1,4,3,True,7
hk,0511.HK,1,3,0,2,1,4,3,True,7
hk,0512.HK,1,3,0,2,1,4,3,True,7
hk,0513.HK,1,0,0,2,1,3,2,False,4
hk,0515.HK,1,0,0,2,1,3,2,False,4
hk,0517.HK,1,3,0,2,1,4,3,True,7
hk,0518.HK,1,3,0,2,1,4,3,True,7
hk,0519.HK,1,0,0,2,1,3,2,False,4
hk,0520.HK,1,3,0,2,1,4,3,True,7
hk,0521.HK,1,3,0,2,1,4,3,True,7
hk,0522.HK,1,1,0,2,1,4,3,True,5
hk,0524.HK,1,2,0,2,1,4,3,True,6
hk,0525.HK,1,3,0,2,1,4,3,True,7
hk,0526.HK,1,3,0,2,1,4,3,True,7
hk,0527.HK,1,2,0,2,1,4,3,True,6
hk,0528.HK,1,3,0,2,1,4,3,True,7
hk,0529.HK,1,3,0,2,1,4,3,True,7
hk,0531.HK,1,0,0,2,1,3,2,False,4
hk,0532.HK,1,3,0,2,1,4,3,True,7
hk,0533.HK,1,3,0,2,1,4,3,True,7
hk,0535.HK,1,3,0,2,1,4,3,True,7
hk,0536.HK,1,3,0,2,1,4,3,True,7
hk,0537.HK,0,3,0,0,0,1,1,False,3
hk,0538.HK,1,3,0,2,1,4,3,True,7
hk,0540.HK,1,3,0,2,1,4,3,True,7
hk,0542.HK,1,2,0,2,1,4,3,True,6
hk,0543.HK,1,3,0,2,1,4,3,True,7
hk,0544.HK,1,2,0,2,1,4,3,True,6
hk,0546.HK,1,3,0,2,1,4,3,True,7
hk,0547.HK,1,3,0,2,1,4,3,True,7
hk,0548.HK,1,3,0,2,1,4,3,True,7
hk,0550.HK,1,3,0,2,1,4,3,True,7
hk,0551.HK,1,3,0,2,1,4,3,True,7
hk,0552.HK,1,3,0,2,1,4,3,True,7
hk,0553.HK,1,3,0,2,1,4,3,True,7
hk,0554.HK,1,3,0,2,1,4,3,True,7
hk,0556.HK,1,3,0,2,1,4,3,True,7
hk,0557.HK,1,3,0,2,1,4,3,True,7
hk,0558.HK,1,3,0,2,1,4,3,True,7
hk,0559.HK,1,0,0,2,1,3,2,False,4
hk,0560.HK,1,3,0,2,1,4,3,True,7
hk,0563.HK,1,3,0,2,1,4,3,True,7
hk,0564.HK,1,3,0,2,1,4,3,True,7
hk,0565.HK,1,1,0,2,1,4,3,True,5
hk,0567.HK,1,3,0,2,1,4,3,True,7
hk,0568.HK,1,3,0,2,1,4,3,True,7
hk,0570.HK,1,3,0,2,1,4,3,True,7
hk,0571.HK,1,0,0,2,1,3,2,False,4
hk,0572.HK,1,3,0,2,1,4,3,True,7
hk,0573.HK,1,3,0,2,1,4,3,True,7
hk,0574.HK,1,2,0,2,1,4,3,True,6
hk,0575.HK,1,2,0,2,1,4,3,True,6
hk,0576.HK,1,3,0,2,1,4,3,True,7
hk,0579.HK,1,3,0,2,1,4,3,True,7
hk,0580.HK,1,3,0,2,1,4,3,True,7
hk,0581.HK,1,3,0,2,1,4,3,True,7
hk,0582.HK,1,3,0,2,1,4,3,True,7
hk,0583.HK,1,3,0,2,1,4,3,True,7
hk,0585.HK,1,3,0,2,1,4,3,True,7
hk,0586.HK,1,3,0,2,1,4,3,True,7
hk,0587.HK,1,3,0,2,1,4,3,True,7
hk,0588.HK,1,3,0,2,1,4,3,True,7
hk,0589.HK,1,0,0,2,1,3,2,False,4
hk,0590.HK,1,3,0,2,1,4,3,True,7
hk,0591.HK,1,0,0,2,1,3,2,False,4
hk,0592.HK,1,0,0,2,1,3,2,False,4
hk,0593.HK,1,0,0,2,1,3,2,False,4
hk,0595.HK,1,3,0,2,1,4,3,True,7
hk,0596.HK,1,3,0,2,1,4,3,True,7
hk,0598.HK,1,3,0,2,1,4,3,True,7
hk,0599.HK,1,3,0,2,1,4,3,True,7
hk,0600.HK,1,2,0,0,0,2,1,False,3
hk,0601.HK,1,2,0,2,1,4,3,True,6
hk,0602.HK,1,2,0,2,1,4,3,True,6
hk,0603.HK,1,3,0,2,1,4,3,True,7
hk,0604.HK,1,3,0,2,1,4,3,True,7
hk,0605.HK,1,3,0,2,1,4,3,True,7
hk,0606.HK,1,3,0,2,1,4,3,True,7
hk,0607.HK,1,3,0,2,1,4,3,True,7
hk,0608.HK,1,3,0,2,1,4,3,True,7
hk,0609.HK,1,3,0,2,1,4,3,True,7
hk,0610.HK,1,3,0,2,1,4,3,True,7
hk,0611.HK,1,3,0,2,1,4,3,True,7
hk,0612.HK,1,0,0,2,1,3,2,False,4
hk,0613.HK,1,3,0,2,1,4,3,True,7
hk,0616.HK,1,3,0,2,1,4,3,True,7
hk,0617.HK,1,3,0,2,1,4,3,True,7
hk,0618.HK,1,3,0,2,1,4,3,True,7
hk,0619.HK,1,3,0,2,1,4,3,True,7
hk,0620.HK,1,3,0,2,1,4,3,True,7
hk,0621.HK,1,3,0,2,1,4,3,True,7
hk,0622.HK,1,3,0,2,1,4,3,True,7
hk,0623.HK,1,3,0,2,1,4,3,True,7
hk,0626.HK,1,3,0,2,1,4,3,True,7
hk,0627.HK,1,2,0,2,1,4,3,True,6
hk,0628.HK,1,3,0,2,1,4,3,True,7
hk,0629.HK,1,3,0,2,1,4,3,True,7
hk,0630.HK,1,3,0,2,1,4,3,True,7
hk,0631.HK,1,3,0,2,1,4,3,True,7
hk,0632.HK,1,3,0,2,1,4,3,True,7
